aX,aY,aZ,gX,gY,gZ
0.329,0.089,-0.009,407.349,-98.999,-162.903
0.371,0.168,0.219,397.461,-83.130,-149.536
0.402,0.192,0.291,367.126,-56.458,-134.521
0.482,0.209,0.404,348.206,-57.007,-126.953
0.512,0.210,0.482,323.669,-62.317,-104.187
0.490,0.183,0.763,318.848,-50.720,-92.896
0.453,0.144,0.946,285.034,-48.096,-87.219
0.356,0.056,1.237,247.925,-77.209,-95.154
0.315,0.024,1.331,171.814,-148.682,-113.770
0.258,-0.042,1.579,147.888,-158.997,-113.159
0.241,-0.088,1.736,107.971,-112.366,-79.956
0.200,-0.109,1.917,78.552,-73.303,-51.697
0.170,-0.071,1.898,-0.305,-8.606,1.831
0.125,0.041,1.694,-43.701,8.484,17.151
0.112,0.096,1.535,-118.652,15.259,19.409
0.172,0.204,1.211,-142.334,13.000,14.771
0.219,0.268,1.098,-167.297,12.817,18.982
0.266,0.384,0.968,-178.284,18.066,26.550
0.272,0.414,0.919,-218.750,21.973,32.593
0.312,0.425,0.817,-247.925,15.076,28.198
0.361,0.408,0.747,-310.669,-3.357,18.311
0.450,0.349,0.494,-333.557,-0.061,22.034
0.483,0.334,0.344,-340.942,46.021,57.007
0.397,0.359,0.175,-335.937,75.745,80.750
0.313,0.379,0.084,-348.267,82.581,105.103
0.289,0.423,-0.139,-354.553,59.021,101.440
0.312,0.417,-0.181,-354.736,37.598,95.337
0.260,0.371,-0.251,-366.333,45.898,94.788
0.190,0.359,-0.360,-386.414,68.420,95.520
0.089,0.350,-0.674,-415.527,90.820,84.534
0.062,0.341,-0.816,-405.090,83.679,76.660
0.040,0.327,-0.927,-340.149,87.280,78.186
-0.047,0.294,-1.013,-300.171,107.239,88.074
-0.097,0.268,-1.021,-267.456,98.328,93.506
-0.118,0.239,-1.117,-276.794,46.509,83.069
-0.140,0.248,-1.189,-271.301,-45.166,55.847
-0.223,0.230,-1.267,-246.948,-33.569,46.143
-0.231,0.223,-1.260,-202.454,32.288,32.898
-0.136,0.230,-1.261,-196.289,31.006,26.550
-0.070,0.240,-1.277,-182.617,-23.743,19.409
-0.022,0.260,-1.175,-164.856,-44.739,19.287
-0.032,0.253,-1.087,-137.573,-48.645,21.667
-0.071,0.215,-1.016,-130.737,-24.841,21.423
-0.060,0.225,-1.096,-122.864,49.683,12.146
-0.008,0.198,-1.213,-113.525,61.218,10.010
-0.005,0.171,-1.263,-94.055,32.349,10.864
-0.028,0.120,-1.378,-85.937,21.301,12.878
-0.026,0.103,-1.397,-71.289,13.672,12.268
-0.020,0.151,-1.505,-62.622,6.714,10.376
0.040,0.164,-1.583,-26.733,-8.606,10.559
0.026,0.159,-1.331,-15.259,-25.452,11.108
-0.004,0.175,-1.199,-21.545,-44.983,12.512
-0.077,0.206,-1.146,-20.935,-27.832,12.634
-0.068,0.187,-1.172,-18.372,11.108,6.409
-0.012,0.184,-1.247,-17.761,10.864,3.540
-0.019,0.198,-1.232,-5.981,-9.949,1.892
-0.039,0.215,-1.118,0.671,-17.944,0.244
-0.034,0.223,-1.058,8.118,-22.034,-3.113
-0.009,0.225,-0.991,7.568,-19.409,-3.418
0.002,0.231,-1.002,2.136,-8.484,-3.357
0.025,0.233,-1.029,1.526,-5.371,-4.456
0.037,0.220,-1.016,2.380,-8.911,-5.798
0.035,0.196,-0.979,2.686,-10.803,-5.188
0.028,0.189,-0.958,3.479,-8.789,-4.517
0.025,0.177,-0.937,2.808,-5.127,-3.845
0.022,0.181,-0.947,2.136,-0.183,-2.747
0.029,0.170,-0.941,2.502,-0.549,-2.563
0.031,0.164,-0.939,-0.244,-4.883,0.061
0.027,0.161,-0.960,-1.099,-6.592,0.854
0.027,0.154,-0.969,-0.122,-3.723,0.549
0.045,0.154,-0.994,-0.244,-0.061,0.305
0.053,0.160,-1.010,0.549,0.793,0.916
0.049,0.168,-1.006,1.465,-0.549,0.916
0.036,0.173,-0.995,0.916,-1.221,0.000
0.024,0.181,-0.995,0.061,-0.061,-0.427
0.026,0.182,-1.002,0.061,2.075,-0.549
0.025,0.182,-1.010,0.671,1.831,-0.671
0.026,0.181,-1.004,2.014,-1.953,-1.099
0.035,0.176,-0.988,1.892,-3.601,-0.916
0.031,0.183,-0.991,0.854,-2.136,-0.061
0.021,0.194,-1.006,1.343,-2.136,-0.610
0.032,0.186,-0.995,4.150,-5.432,-1.953
0.041,0.167,-0.958,4.028,-4.150,-0.671
0.030,0.176,-0.965,2.319,-1.038,0.916
0.016,0.184,-0.998,1.282,1.465,-0.244
0.022,0.178,-1.000,2.808,-1.038,-2.075
0.036,0.169,-0.983,5.554,-8.423,-3.113
0.045,0.170,-0.958,4.517,-8.911,-1.892
0.044,0.182,-0.971,1.343,-4.883,-1.892
0.050,0.192,-0.997,1.892,-4.150,-3.174
0.059,0.192,-0.993,6.042,-5.920,-5.005
0.073,0.172,-0.955,6.714,-3.418,-4.211
0.076,0.173,-0.963,1.038,4.150,-0.305
0.054,0.201,-1.005,-0.549,5.127,0.549
0.047,0.199,-1.004,0.549,1.892,-0.183
0.032,0.192,-0.987,0.854,0.488,-0.061
0.020,0.197,-0.984,1.038,0.732,-0.183
0.028,0.193,-0.982,1.282,0.793,-1.160
0.043,0.182,-0.977,1.099,2.380,-0.488
0.050,0.187,-0.984,0.061,2.991,0.671
0.044,0.193,-0.990,-1.160,0.122,0.183
0.036,0.184,-0.982,-1.343,-1.099,-0.244
0.038,0.179,-0.978,-2.380,1.709,1.221
0.055,0.183,-0.989,-2.869,3.845,2.380
0.062,0.188,-0.993,-1.709,4.211,4.089
0.045,0.193,-0.976,-0.854,3.052,4.517
0.034,0.193,-0.965,-1.160,1.587,3.723
0.016,0.198,-0.968,-1.160,2.441,3.052
0.016,0.193,-0.975,-1.038,4.089,0.916

-0.191,-0.225,-2.537,207.336,85.754,-47.852
-0.274,-0.275,-2.651,292.480,97.534,-73.425
-0.461,-0.406,-2.902,338.257,103.394,-81.665
-0.637,-0.391,-2.848,442.383,109.192,-102.844
-0.660,-0.360,-2.576,501.892,86.365,-121.826
-0.562,-0.469,-1.649,618.286,-34.241,-174.744
-0.394,-0.582,-1.072,657.837,-91.736,-200.073
0.088,-0.791,0.018,666.626,-136.719,-223.450
0.361,-0.799,0.471,572.144,-131.348,-188.477
0.805,-0.659,0.997,497.986,-118.469,-154.602
0.885,-0.559,1.072,395.996,-53.894,-72.571
0.778,-0.364,1.165,375.977,-21.912,-39.917
0.629,-0.268,1.227,334.839,-31.433,-21.729
0.278,-0.130,1.330,301.941,-81.360,-37.537
0.189,-0.101,1.433,217.834,-235.779,-91.980
0.165,-0.072,1.833,177.002,-280.762,-103.210
0.145,-0.046,1.992,104.431,-202.454,-62.744
0.071,0.083,1.990,68.909,-119.080,-28.442
0.037,0.161,1.864,-4.211,10.559,25.391
0.003,0.325,1.501,-41.199,40.344,42.358
-0.035,0.416,1.319,-102.600,49.988,50.964
-0.084,0.545,1.043,-129.089,40.527,40.466
-0.045,0.568,0.916,-178.711,13.062,11.963
0.108,0.573,0.680,-196.960,3.052,6.104
0.159,0.586,0.583,-215.759,8.179,16.357
0.183,0.630,0.451,-220.093,21.484,25.269
0.187,0.632,0.404,-236.999,42.236,37.537
0.194,0.620,0.264,-250.061,45.105,41.809
0.189,0.630,0.195,-274.780,44.678,44.556
