aX,aY,aZ,gX,gY,gZ
0.435,-0.097,1.087,8.423,-20.935,-2.502
0.425,-0.152,1.072,4.089,-19.409,-2.136
0.418,-0.226,1.027,2.380,-16.968,-0.854
0.407,-0.236,0.992,1.831,-12.207,3.235
0.366,-0.232,0.931,4.089,-8.728,4.150
0.350,-0.239,0.919,6.409,-6.165,4.150
0.323,-0.256,0.923,6.714,-7.690,4.944
0.305,-0.255,0.928,5.066,-9.155,5.737
0.286,-0.247,0.930,2.136,-7.019,6.104
0.254,-0.227,0.926,1.892,-4.211,5.249
0.250,-0.231,0.927,2.625,0.732,2.991
0.275,-0.245,0.944,1.099,1.526,3.113
0.288,-0.248,0.941,-5.737,1.038,6.287
0.290,-0.246,0.913,-6.836,1.709,7.019
0.288,-0.245,0.902,-1.709,4.822,5.554
0.289,-0.246,0.911,1.099,4.700,4.150
0.288,-0.251,0.927,0.854,0.916,3.296
0.284,-0.254,0.949,-0.977,-0.305,3.784
0.280,-0.250,0.952,-2.563,1.709,4.822
0.269,-0.237,0.947,-2.502,2.991,4.944
0.268,-0.232,0.943,-1.770,2.808,3.967
0.269,-0.223,0.948,-1.282,2.258,3.967
0.262,-0.220,0.950,-1.526,3.113,4.822
0.262,-0.227,0.938,-2.319,3.113,4.639
0.265,-0.225,0.938,-2.808,0.183,4.761
0.253,-0.208,0.945,-1.831,0.244,4.395
0.253,-0.210,0.942,-0.183,2.014,2.625
0.282,-0.238,0.934,0.549,1.526,-1.770
0.291,-0.245,0.937,-0.671,-1.709,-1.770
0.270,-0.240,0.953,0.610,-1.648,0.549
0.267,-0.245,0.958,1.648,1.404,0.610
0.278,-0.253,0.952,-0.183,1.953,-0.610
0.280,-0.254,0.947,-1.282,1.160,-0.610
0.280,-0.251,0.941,-1.831,3.052,-0.061
0.279,-0.249,0.935,-2.563,3.601,0.244
0.276,-0.243,0.931,-3.296,2.136,0.305
0.265,-0.234,0.934,-3.174,1.587,-0.061
0.264,-0.232,0.934,-3.357,2.075,-0.427
0.263,-0.220,0.929,-3.418,3.113,-0.183
0.264,-0.214,0.925,-3.296,5.249,-0.061
0.276,-0.214,0.925,-2.869,5.066,-0.488
0.283,-0.213,0.930,-2.502,3.235,-1.709
0.303,-0.222,0.929,-2.808,2.808,-1.892
0.309,-0.222,0.927,-3.418,3.357,-0.244
0.299,-0.214,0.920,-3.479,4.272,0.793
0.295,-0.215,0.917,-2.808,3.967,1.465
0.290,-0.215,0.924,-2.380,1.770,1.221
0.288,-0.217,0.931,-1.038,-0.610,0.366
0.284,-0.225,0.944,0.000,0.732,0.183
0.284,-0.228,0.948,-0.610,1.953,0.366
0.289,-0.234,0.940,-2.075,0.854,0.122
0.296,-0.239,0.932,-2.686,0.549,0.183
0.306,-0.237,0.917,-2.258,1.526,1.282
0.298,-0.227,0.913,-1.038,2.136,4.211
0.275,-0.212,0.913,0.000,1.465,3.723
0.272,-0.212,0.913,0.732,-2.014,-0.061
0.273,-0.215,0.916,1.770,-3.052,-1.160
0.274,-0.223,0.927,4.150,-0.854,-0.549
0.278,-0.232,0.949,3.174,-0.244,0.244
0.274,-0.229,0.953,0.183,-1.465,0.916
0.263,-0.219,0.957,0.122,-0.732,0.366
0.264,-0.221,0.953,-0.549,2.197,-1.587
0.285,-0.227,0.929,-1.831,2.197,-2.014
0.293,-0.224,0.917,-2.380,2.258,-1.160
0.299,-0.220,0.913,-1.465,2.808,-1.221
0.305,-0.223,0.917,-1.221,2.380,-1.648
0.306,-0.225,0.916,-2.441,-0.549,-0.732
0.299,-0.224,0.911,-1.892,0.061,0.427
0.294,-0.223,0.908,1.038,3.601,1.343
0.294,-0.222,0.913,1.343,2.686,1.160
0.291,-0.222,0.919,0.305,-1.770,0.671
0.280,-0.224,0.932,1.160,-1.343,0.244
0.281,-0.227,0.939,2.258,0.793,-0.732

0.119,-2.016,0.560,54.138,20.447,-107.666
0.140,-2.020,0.617,31.860,37.415,-63.782
0.114,-1.899,0.650,21.973,45.959,-39.917
0.059,-1.781,0.608,9.888,71.228,14.221
-0.133,-1.561,0.441,6.531,81.787,39.978
-0.192,-1.467,0.387,-12.024,71.411,78.918
-0.196,-1.326,0.350,-31.433,49.194,92.529
-0.196,-1.283,0.347,-67.322,6.226,110.596
-0.172,-1.112,0.382,-75.073,0.671,118.591
-0.129,-0.959,0.424,-72.998,20.447,142.944
-0.021,-0.669,0.516,-71.594,33.997,154.663
0.037,-0.548,0.561,-84.167,44.556,166.809
0.125,-0.302,0.608,-94.604,38.330,171.020
0.144,-0.145,0.621,-97.107,19.409,167.908
0.169,0.167,0.705,-81.787,11.353,156.433
0.178,0.238,0.783,-42.725,-12.695,127.686
0.201,0.339,1.016,-30.823,-27.832,114.075
0.223,0.404,1.146,-21.179,-38.818,88.867
0.318,0.524,1.307,-21.057,-31.982,80.200
0.339,0.549,1.298,-19.653,-11.963,73.792
0.312,0.521,1.164,-16.846,-5.798,70.618
0.277,0.493,1.085,-12.756,-4.578,66.528
0.201,0.432,1.013,3.174,-10.193,49.316
0.183,0.402,1.033,12.390,-13.428,35.522
0.182,0.352,1.058,15.564,-20.691,15.320
0.189,0.252,1.103,12.512,-24.597,16.846
0.155,0.232,1.110,8.484,-21.545,23.010
0.099,0.176,1.055,10.193,-13.611,18.127
0.112,0.128,1.023,19.958,-5.798,-1.099
0.202,0.016,1.025,23.132,-9.766,-10.254
0.255,-0.033,1.046,19.043,-20.569,-19.531
0.328,-0.094,1.046,14.893,-20.325,-20.020
0.342,-0.122,1.027,12.573,-5.798,-15.808
0.366,-0.176,0.991,11.169,1.160,-11.841
0.370,-0.183,0.973,3.296,1.404,-6.226
0.383,-0.196,0.944,1.770,-0.305,-7.446
0.395,-0.214,0.944,5.737,1.770,-10.254
0.406,-0.251,0.961,6.592,3.906,-7.935
0.399,-0.260,0.961,1.465,4.944,1.526
0.359,-0.247,0.950,-1.831,4.150,5.798
0.331,-0.234,0.946,-3.540,4.028,9.583
0.301,-0.226,0.944,-3.418,3.113,8.850
0.291,-0.220,0.939,-5.615,-1.770,7.141
0.247,-0.202,0.923,-4.456,-1.099,6.775
0.239,-0.207,0.921,0.854,5.005,4.822
0.250,-0.207,0.920,0.366,4.089,4.517
0.239,-0.193,0.917,-0.977,1.343,4.578
0.225,-0.186,0.911,2.563,2.258,0.793
0.268,-0.221,0.915,5.005,3.113,-2.502
0.297,-0.237,0.923,1.648,-3.052,-0.977
0.295,-0.236,0.926,0.488,-2.869,2.197
0.294,-0.240,0.930,3.174,4.211,4.089
0.307,-0.247,0.943,1.953,3.113,4.333
0.300,-0.243,0.946,-1.526,-2.930,4.578
0.281,-0.233,0.952,-0.183,-1.892,3.479
0.276,-0.228,0.953,3.967,2.197,1.282
0.263,-0.220,0.949,4.028,1.343,0.244
0.266,-0.226,0.950,1.343,-1.892,-1.587
0.277,-0.226,0.958,-0.305,-2.014,-0.793
0.273,-0.218,0.954,-2.136,0.977,1.221
0.267,-0.204,0.934,-1.343,2.502,0.610
0.270,-0.202,0.925,0.854,2.014,-2.075
0.288,-0.214,0.920,0.977,0.671,-2.686
0.294,-0.218,0.921,-0.366,-0.916,-0.671
0.287,-0.215,0.918,-0.183,-0.732,0.244
0.283,-0.212,0.920,2.258,0.671,-0.549
0.283,-0.210,0.930,3.052,0.854,-1.343
0.285,-0.211,0.930,2.380,-0.244,-1.709
0.278,-0.209,0.930,2.869,0.244,-1.465
0.285,-0.217,0.934,3.845,1.282,-1.709
0.303,-0.227,0.947,1.648,-0.854,-1.587
0.300,-0.224,0.944,-0.183,-1.770,-0.305
0.301,-0.221,0.939,0.671,2.197,0.671
