4.10	-2.80	5.27	7.16	-2.02	0.93	-0.38	3.89	2.38	-3.50	-2.52	-0.73	-3.21
3.63	-4.84	3.14	5.22	1.56	3.91	5.26	7.72	5.55	-4.08	-9.85	-7.16	-4.99
0.17	-4.76	3.18	6.42	2.02	6.31	3.00	2.68	1.94	-4.80	-3.56	-0.35	-7.47
-4.05	-4.00	4.75	4.37	-1.11	1.14	1.56	5.10	2.80	-2.07	-4.77	-0.03	-1.07
-0.11	-2.86	5.33	-3.68	-7.04	3.23	2.49	3.94	-1.17	-8.26	-4.64	-2.96	-8.30
2.59	1.58	-4.30	-3.68	-3.18	1.75	2.02	1.39	1.04	-2.59	-3.80	1.38	-1.81
6.62	-2.90	0.51	0.16	0.37	2.83	-4.89	-0.59	0.30	-1.76	-6.38	-3.93	-2.18
6.45	-11.17	7.00	5.80	-1.64	1.29	-2.83	-0.60	-2.07	0.92	-0.94	-2.06	5.19
9.04	-11.90	4.07	1.84	-6.10	3.79	-0.38	-4.34	-1.55	-2.90	0.47	-1.91	2.63
5.38	-14.41	1.97	2.00	-4.29	-1.01	-4.13	-4.88	-4.24	-5.67	-4.08	-6.22	-0.75
2.37	-11.57	6.69	-1.05	-4.77	-1.03	-5.28	4.42	3.09	-7.92	-6.24	-8.59	0.33
9.18	-10.85	8.81	0.33	-3.44	4.59	-5.61	4.60	-1.01	-11.37	-5.12	-6.93	-1.05
5.73	-10.70	1.51	-3.10	1.32	6.84	-3.35	1.02	-0.07	-12.69	-2.34	-0.58	0.83
2.83	-6.51	3.47	-0.53	-6.31	-2.10	-1.01	-4.76	-6.61	-6.02	0.52	1.67	1.79
-3.57	-4.10	-1.49	-2.80	-2.80	1.80	0.68	-0.78	-1.99	-1.45	0.93	1.22	2.80
9.76	-6.62	2.30	0.74	-2.23	5.67	-0.82	-7.79	-1.44	-3.38	-0.44	0.92	-1.27
14.35	-8.91	-0.09	0.20	-5.84	1.86	-0.46	-5.16	-5.73	-4.07	-0.14	-3.27	-5.06
3.43	-7.59	7.49	1.97	-1.96	3.60	-3.07	-4.62	-5.14	-4.14	-4.16	0.17	-2.57
10.16	-5.12	4.69	7.41	-1.95	2.40	-2.88	-5.68	0.28	-2.34	0.21	-1.92	-2.59
8.73	-6.09	5.06	4.19	-1.12	2.57	-9.31	-8.76	-0.24	-9.48	0.31	-0.29	-4.89
9.18	-5.03	7.54	5.17	-2.17	2.95	-5.03	-4.36	-5.12	-5.25	-0.46	-2.94	-4.70
0.76	-4.51	8.53	9.02	-2.27	-1.08	-3.40	-3.44	-2.35	0.10	-0.57	-2.84	-3.85
-2.62	-5.26	0.52	-2.11	-4.83	-2.99	-2.45	-1.50	-2.37	-3.32	-1.31	-0.29	-2.89
5.76	-3.63	5.90	3.37	-1.89	0.80	-5.65	-3.53	0.81	-1.95	0.62	-2.54	-6.23
5.68	-3.52	4.34	1.30	-5.14	0.81	-4.27	-4.37	-1.89	-3.06	-1.87	-4.68	-4.73
7.33	-2.38	4.85	4.97	-2.78	-1.75	-5.79	-6.00	-2.57	-2.80	1.54	-1.05	-7.31
5.51	-2.37	2.14	-0.79	-3.05	1.90	-5.79	-5.31	-0.64	-2.72	2.70	0.30	-5.59
3.19	-1.01	10.85	2.93	-3.41	-0.24	-6.17	-8.64	-3.97	-4.28	4.15	0.40	-4.92
4.93	-1.66	4.31	1.77	-0.26	2.51	-1.30	-3.90	-0.58	-2.31	-0.66	-7.57	-9.41
7.66	7.23	5.55	2.45	-1.90	2.23	-5.05	-3.81	-3.18	-0.80	0.14	-2.60	-2.11
4.41	1.13	8.60	5.56	-0.97	4.48	-1.83	-3.46	-1.67	1.04	-0.73	-3.90	-4.65
5.28	-1.62	4.03	-3.34	-6.12	0.34	-5.45	-5.33	-2.44	-1.15	0.32	-2.40	-4.59
10.38	3.04	9.64	-0.94	-7.81	2.06	-1.65	-0.77	0.24	-3.17	-0.81	-3.73	-1.76
14.23	0.94	6.02	1.12	-5.53	-1.68	-1.26	-1.19	-0.86	-2.20	-3.54	0.03	1.78
13.39	-0.69	5.44	-0.26	-9.26	-4.08	0.06	-3.44	-3.41	-5.13	0.37	4.54	4.54
15.98	-4.64	0.17	-5.68	-7.89	-3.12	-4.17	-5.18	-4.64	-2.34	-2.43	0.41	2.30
12.81	-7.04	0.07	-4.17	-10.38	-0.11	3.10	-5.46	-1.64	-0.85	-0.31	-0.85	4.69
3.04	-8.89	0.51	0.49	-3.38	2.70	0.21	0.65	-3.05	-3.96	-2.65	-0.55	4.49
3.37	-4.56	-4.32	-4.38	-9.06	-1.72	1.66	0.97	0.11	-1.08	-0.29	2.78	3.66
6.55	-11.56	-2.09	-3.22	-4.45	-5.79	0.26	-3.00	-9.13	-10.18	-9.36	-4.42	3.84
4.22	-9.92	0.63	-0.80	-2.75	0.33	1.50	2.84	-0.25	-6.29	-2.78	-0.18	-1.76
5.97	-10.44	4.93	-4.11	-6.51	-1.35	-0.34	1.10	-1.03	-4.05	-2.41	3.41	0.96
-6.19	4.12	7.19	3.96	3.47	4.86	8.59	5.15	5.36	-2.51	-1.21	-1.69	-4.67
-2.12	1.77	9.23	2.84	0.36	3.65	1.13	1.78	4.07	-1.38	1.45	2.01	-1.42
-5.73	-2.49	9.47	-0.20	-0.31	3.59	2.19	2.20	3.17	-0.99	1.16	2.72	-0.72
-4.33	0.87	6.77	-1.86	-4.08	-0.29	3.87	1.08	-0.28	-3.11	1.84	1.53	-0.83
-4.85	-3.05	8.70	5.73	-0.32	-3.65	-1.70	3.48	3.47	-0.57	1.94	-0.02	-3.91
-2.74	-2.57	2.37	1.21	1.49	-0.14	1.19	4.13	4.56	-1.29	1.11	0.26	1.35
7.15	-0.25	6.59	2.12	-0.99	4.16	3.87	6.78	3.66	-5.66	-0.37	1.06	0.15
